Video Games,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bloodborne (2015),2m,NaN,NaN,NaN,NaN,NaN,NaN,7.46m,NaN,NaN
Uncharted 4: A Thief's End (2016),NaN,8.7m,NaN,NaN,15m,NaN,NaN,18.6m,NaN,NaN
Super Mario Odyssey (2017),NaN,NaN,9.07m,14.54m,19.04m,NaN,NaN,23.94m,26.33m,27.96m
Red Dead Redemption II (2018),NaN,NaN,NaN,23m,29m,36m,43m,50m,61m,64m
Sekiro: Shadows Die Twice (2019),NaN,NaN,NaN,NaN,4m,5m,NaN,NaN,10m,NaN
Ori and the Will of the Wisps (2020),NaN,NaN,NaN,NaN,NaN,2.8m,NaN,NaN,NaN,10m
Metroid Dread (2021),NaN,NaN,NaN,NaN,NaN,NaN,2.74m,3.07m,3.5m,NaN
Elden Ring (2022),NaN,NaN,NaN,NaN,NaN,NaN,NaN,20m,23m,28.6m
Baldur's Gate III (2023),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3m,15m
Black Myth: Wukong (2024),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25m

